14/02/2024 03:40:10 PM : root         : INFO     :  ******** Watch_Demo_Page (Order - 1) Begin ********
14/02/2024 03:40:48 PM : root         : INFO     : entered explicit wait for 10
14/02/2024 03:40:48 PM : root         : INFO     : exiting explicit wait..
14/02/2024 03:40:49 PM : root         : INFO     : entered explicit wait for 10
14/02/2024 03:40:49 PM : root         : INFO     : exiting explicit wait..
14/02/2024 03:41:01 PM : root         : INFO     : entered explicit wait for 10
14/02/2024 03:41:01 PM : root         : INFO     : exiting explicit wait..
14/02/2024 03:41:07 PM : root         : INFO     : entered explicit wait for 10
14/02/2024 03:41:08 PM : root         : INFO     : exiting explicit wait..
14/02/2024 03:41:12 PM : root         : INFO     : entered explicit wait for 10
14/02/2024 03:41:12 PM : root         : INFO     : exiting explicit wait..
